teks,clean1,clean2,clean3,sentimen_lexicon,label_lexicon,cleaned
@ martabaya @ oposisicerdas setahu 51 persen..dan tidak sinovac..bbrpa vaksin perlu 2 x efikasinya maksimal..bgaimanapun dripada tidak melakukan apapun.., martabaya  oposisicerdas setahu  persendan tidak sinovacbbrpa vaksin perlu  x efikasinya maksimalbgaimanapun dripada tidak melakukan apapun,martabaya oposisicerdas setahu persendan sinovacbbrpa vaksin x efikasinya maksimalbgaimanapun dripada apapun,martabaya oposisicerdas tahu persendan sinovacbbrpa vaksin x efikasinya maksimalbgaimanapun dripada apa,1,1,martabaya oposisicerdas tahu persendan sinovacbbrpa vaksin x efikasinya maksimalbgaimanapun dripada apa
"@ dedysetyawann_ @ riagarindra @ nemafaa @ detikcom gra2 trget bgini nyebabin meninggal . daerah q kontak erat covid vaksin mninggal , diabetes vaksin mninggal . org dvaksin kdang gk paham , cuman iya2 .", dedysetyawann  riagarindra  nemafaa  detikcom  trget bgini nyebabin meninggal  daerah q kontak erat covid vaksin mninggal  diabetes vaksin mninggal  org dvaksin kdang gk paham  cuman  ,dedysetyawann riagarindra nemafaa detikcom trget bgini nyebabin meninggal daerah q kontak erat covid vaksin mninggal diabetes vaksin mninggal org dvaksin kdang gk paham cuman,dedysetyawann riagarindra nemafaa detikcom trget bgini nyebabin tinggal daerah q kontak erat covid vaksin mninggal diabetes vaksin mninggal org dvaksin kdang gk paham cuman,3,1,dedysetyawann riagarindra nemafaa detikcom trget bgini nyebabin tinggal daerah q kontak erat covid vaksin mninggal diabetes vaksin mninggal org dvaksin kdang gk paham cuman
"tak kembangkan vaksin , 2021 pfizer luncurkan pil obat covid-19 https : //t.co/fm04pdysv3 via @ youtube",tak kembangkan vaksin   pfizer luncurkan pil obat  https   via  youtube,kembangkan vaksin pfizer luncurkan pil obat https via youtube,kembang vaksin pfizer luncur pil obat https via youtube,0,0,kembang vaksin pfizer luncur pil obat https via youtube
[ video ] vaksin astrazeneca | pemohon sukarela tidak perlu daftar baharu https : //t.co/dmuugwxsm5 https : //t.co/82vqo33xvd, vaksin astrazeneca  pemohon sukarela tidak perlu daftar baharu https   https  ,vaksin astrazeneca pemohon sukarela daftar baharu https https,vaksin astrazeneca mohon sukarela daftar baharu https https,7,1,vaksin astrazeneca mohon sukarela daftar baharu https https
"@ detikcom serius , disalahkan si dokter nya nyuntik vaksin nya ? 😣", detikcom serius  disalahkan si dokter nya nyuntik vaksin nya  😣,detikcom serius disalahkan si dokter nya nyuntik vaksin nya 😣,detikcom serius salah si dokter nya nyuntik vaksin nya,-9,2,detikcom serius salah si dokter nya nyuntik vaksin nya
", percaya eja covid as kobik kobid sum like tht . vaksin eja as beksin . percaya .", percaya eja covid as kobik kobid sum like tht  vaksin eja as beksin  percaya ,percaya eja covid as kobik kobid sum like tht vaksin eja as beksin percaya,percaya eja covid as kobik kobid sum like tht vaksin eja as beksin percaya,10,1,percaya eja covid as kobik kobid sum like tht vaksin eja as beksin percaya
"vaksin covid-19 pasangan muslim , tureci sahin ; dunia penerbitan internasional , syaikha boudour presiden international publisher association ; uni emirat arab sarah al-amiri , pimpin lembaga antariksa.. ilmu-ilmu lahir al-quran",vaksin  pasangan muslim  tureci sahin  dunia penerbitan internasional  syaikha boudour presiden international publisher association  uni emirat arab sarah alamiri  pimpin lembaga antariksa ilmuilmu lahir alquran,vaksin pasangan muslim tureci sahin dunia penerbitan internasional syaikha boudour presiden international publisher association uni emirat arab sarah alamiri pimpin lembaga antariksa ilmuilmu lahir alquran,vaksin pasang muslim tureci sahin dunia terbit internasional syaikha boudour presiden international publisher association uni emirat arab sarah alamiri pimpin lembaga antariksa ilmuilmu lahir alquran,8,1,vaksin pasang muslim tureci sahin dunia terbit internasional syaikha boudour presiden international publisher association uni emirat arab sarah alamiri pimpin lembaga antariksa ilmuilmu lahir alquran
menerima suntikan vaksin covid-19 lengan ? https : //t.co/ewgyhogusr,menerima suntikan vaksin  lengan  https  tcoewgyhogusr,menerima suntikan vaksin lengan https tcoewgyhogusr,terima sunti vaksin lengan https tcoewgyhogusr,2,1,terima sunti vaksin lengan https tcoewgyhogusr
"@ nuekapri eh beneran ? pantesan ... efek vaksin kerasa , kaki kram , payu mekecog uli kasur ben'ini , kle ...", nuekapri eh beneran  pantesan  efek vaksin kerasa  kaki kram  payu mekecog uli kasur benini  kle ,nuekapri eh beneran pantesan efek vaksin kerasa kaki kram payu mekecog uli kasur benini kle,nuekapri eh beneran pantesan efek vaksin rasa kaki kram payu mekecog uli kasur benini kle,0,0,nuekapri eh beneran pantesan efek vaksin rasa kaki kram payu mekecog uli kasur benini kle
@ saifuddinabd @ kkmputrajaya ambik vaksin dos 3 4 pulak, saifuddinabd  kkmputrajaya ambik vaksin dos   pulak,saifuddinabd kkmputrajaya ambik vaksin dos pulak,saifuddinabd kkmputrajaya ambik vaksin dos pulak,-2,2,saifuddinabd kkmputrajaya ambik vaksin dos pulak
@ x1seungzz habis vaksin bawaanya ngantuk kak 😂 lengan bekas suntikannya gampang pegel : (,  habis vaksin bawaanya ngantuk kak 😂 lengan bekas suntikannya gampang pegel  ,habis vaksin bawaanya ngantuk kak 😂 lengan bekas suntikannya gampang pegel,habis vaksin bawaanya ngantuk kak lengan bekas sunti gampang gel,2,1,habis vaksin bawaanya ngantuk kak lengan bekas sunti gampang gel
"@ geloraco pemerintah tanggung jawab korban vaksin.kasian , pns , honor , ga kerja ga gaji , hilang pekerjaan , pensiunan .", geloraco pemerintah tanggung jawab korban vaksinkasian  pns  honor  ga kerja ga gaji  hilang pekerjaan  pensiunan ,geloraco pemerintah tanggung korban vaksinkasian pns honor ga kerja ga gaji hilang pekerjaan pensiunan,geloraco perintah tanggung korban vaksinkasian pns honor ga kerja ga gaji hilang kerja pensiun,-10,2,geloraco perintah tanggung korban vaksinkasian pns honor ga kerja ga gaji hilang kerja pensiun
"sembuh covid , ketua mwa ui : 2 vaksin tak kebal https : //t.co/6lblh1abvg",sembuh covid  ketua mwa ui   vaksin tak kebal https  ,sembuh covid ketua mwa ui vaksin kebal https,sembuh covid ketua mwa ui vaksin kebal https,4,1,sembuh covid ketua mwa ui vaksin kebal https
@ hoodukes bilang steril/vaksin pakai cc engga.. bukan sih 🤣, hoodukes bilang sterilvaksin pakai cc engga bukan sih 🤣,hoodukes bilang sterilvaksin pakai cc engga sih 🤣,hoodukes bilang sterilvaksin pakai cc engga sih,0,0,hoodukes bilang sterilvaksin pakai cc engga sih
"@ dsangg377 kayak hebat bae ratu vaksin tuh , ,pacak nian dio nak gertak sambal densus phue phue 😁👍",  kayak hebat bae ratu vaksin tuh  pacak nian dio nak gertak sambal densus phue phue 😁👍,kayak hebat bae ratu vaksin tuh pacak nian dio nak gertak sambal densus phue phue 😁👍,kayak hebat bae ratu vaksin tuh pacak nian dio nak gertak sambal densus phue phue,-6,2,kayak hebat bae ratu vaksin tuh pacak nian dio nak gertak sambal densus phue phue
@ danialluqmn @ anis97adlina serious aaaa 🥺 student practical kat hospital jumpa ptn covid tidak vaksin, danialluqmn   serious aaaa 🥺 student practical kat hospital jumpa ptn covid tidak vaksin,danialluqmn serious aaaa 🥺 student practical kat hospital jumpa ptn covid vaksin,danialluqmn serious aaaa student practical kat hospital jumpa ptn covid vaksin,0,0,danialluqmn serious aaaa student practical kat hospital jumpa ptn covid vaksin
"56 buah hotel kuantan ? yedok sekmu , hotel takdok benda . suntik semangat takdok . nok suntik vaksin . emm palebapok kakak kerajaan https : //t.co/djt0ghqevx", buah hotel kuantan  yedok sekmu  hotel takdok benda  suntik semangat takdok  nok suntik vaksin  emm palebapok kakak kerajaan https  ,buah hotel kuantan yedok sekmu hotel takdok benda suntik semangat takdok nok suntik vaksin emm palebapok kakak kerajaan https,buah hotel antan yedok sek hotel takdok benda suntik semangat takdok nok suntik vaksin emm palebapok kakak raja https,8,1,buah hotel antan yedok sek hotel takdok benda suntik semangat takdok nok suntik vaksin emm palebapok kakak raja https
"@ fembrianggara sabar broh , vaksin badan vit sehat . dibalik vaksin khawatir cemasnya lhoo 😁", fembrianggara sabar broh  vaksin badan vit sehat  dibalik vaksin khawatir cemasnya lhoo 😁,fembrianggara sabar broh vaksin badan vit sehat dibalik vaksin khawatir cemasnya lhoo 😁,fembrianggara sabar broh vaksin badan vit sehat balik vaksin khawatir cemas lhoo,1,1,fembrianggara sabar broh vaksin badan vit sehat balik vaksin khawatir cemas lhoo
"@ lisaamartatara4 @ mr_cosanostr @ mrsmile80986555 @ armuchsin @ vandinnie gak kapok , kasus vaksin palsu ! ! ! ! bikin densus palsu ? ? ? serok mewek ! ! !",   mrcosanostr    armuchsin  vandinnie gak kapok  kasus vaksin palsu     bikin densus palsu    serok mewek   ,mrcosanostr armuchsin vandinnie gak kapok vaksin palsu bikin densus palsu serok mewek,mrcosanostr armuchsin vandinnie gak kapok vaksin palsu bikin densus palsu serok mewek,-8,2,mrcosanostr armuchsin vandinnie gak kapok vaksin palsu bikin densus palsu serok mewek
@ republikaonline coba logikanya kacau iya.. divaksi tubuh hasilkan imun..artinya imun kekebalan penyakit.. narasi diatas bilang tidak penerima vaksin kebal.. aneh..jadi vaksin, republikaonline coba logikanya kacau iya divaksi tubuh hasilkan imunartinya imun kekebalan penyakit narasi diatas bilang tidak penerima vaksin kebal anehjadi vaksin,republikaonline coba logikanya kacau iya divaksi tubuh hasilkan imunartinya imun kekebalan penyakit narasi diatas bilang penerima vaksin kebal anehjadi vaksin,republikaonline coba logika kacau iya divaksi tubuh hasil imunartinya imun kebal sakit narasi atas bilang terima vaksin kebal anehjadi vaksin,-10,2,republikaonline coba logika kacau iya divaksi tubuh hasil imunartinya imun kebal sakit narasi atas bilang terima vaksin kebal anehjadi vaksin
@ tempodotco @ ridwans38612261 trs gunanya vaksin ?, tempodotco   trs gunanya vaksin ,tempodotco trs gunanya vaksin,tempodotco trs guna vaksin,1,1,tempodotco trs guna vaksin
guru sukabumi lumpuh buta vaksin dirawat rshs bandung . https : //t.co/db1f67aj6m,guru sukabumi lumpuh buta vaksin dirawat rshs bandung  https  ,guru sukabumi lumpuh buta vaksin dirawat rshs bandung https,guru sukabumi lumpuh buta vaksin rawat rshs bandung https,3,1,guru sukabumi lumpuh buta vaksin rawat rshs bandung https
"vaksin sinovac pakai bertahan 2 , 3 wajib disuntik booster . berdasrkan penelitian unpad . 😀",vaksin sinovac pakai bertahan    wajib disuntik booster  berdasrkan penelitian unpad  😀,vaksin sinovac pakai bertahan wajib disuntik booster berdasrkan penelitian unpad 😀,vaksin sinovac pakai tahan wajib suntik booster berdasrkan teliti unpad,-1,2,vaksin sinovac pakai tahan wajib suntik booster berdasrkan teliti unpad
"instead rumah why not pergi genting , manatau vaksin",instead rumah why not pergi genting  manatau vaksin,instead rumah why not pergi genting manatau vaksin,instead rumah why not pergi genting manatau vaksin,2,1,instead rumah why not pergi genting manatau vaksin
@ firzahusain @ ferdiansyahdiet mencontoh negara israel . israel 80 % warganya vaksin ( buatan dalam negri ) tidak perlu masker bebas berkumpul, firzahusain  ferdiansyahdiet mencontoh negara israel  israel   warganya vaksin  buatan dalam negri  tidak perlu masker bebas berkumpul,firzahusain ferdiansyahdiet mencontoh negara israel israel warganya vaksin buatan negri masker bebas berkumpul,firzahusain ferdiansyahdiet contoh negara israel israel warga vaksin buat negri masker bebas kumpul,-3,2,firzahusain ferdiansyahdiet contoh negara israel israel warga vaksin buat negri masker bebas kumpul
pembangun vaksin rusia menuntut pengatur brazil kerana fitnah - https : //t.co/ovr4omtnx3 moscow / brasilia ( reuters ) – pembangun vaksin sputnik v coronavirus rusia tertawa https : //t.co/udyxjzkaqj,pembangun vaksin rusia menuntut pengatur brazil kerana fitnah  https   moscow  brasilia  reuters  – pembangun vaksin sputnik v coronavirus rusia tertawa https  tcoudyxjzkaqj,pembangun vaksin rusia menuntut pengatur brazil kerana fitnah https moscow brasilia reuters – pembangun vaksin sputnik v coronavirus rusia tertawa https tcoudyxjzkaqj,bangun vaksin rusia tuntut atur brazil rana fitnah https moscow brasilia reuters bangun vaksin sputnik v coronavirus rusia tertawa https tcoudyxjzkaqj,5,1,bangun vaksin rusia tuntut atur brazil rana fitnah https moscow brasilia reuters bangun vaksin sputnik v coronavirus rusia tertawa https tcoudyxjzkaqj
"doktor swasta vaksin 150,000 sehari , mma https : //t.co/yod7jfku73",doktor swasta vaksin  sehari  mma https  ,doktor swasta vaksin sehari mma https,doktor swasta vaksin hari mma https,0,0,doktor swasta vaksin hari mma https
"berbulan tidak sakit , after vaksin = ambruk",berbulan tidak sakit  after vaksin  ambruk,berbulan sakit after vaksin ambruk,bulan sakit after vaksin ambruk,-11,2,bulan sakit after vaksin ambruk
assalamualaikum selamat pagi internet sokong geng-geng angkat penumbuk jari senyap membisu pasal isu pekerja kasino genting vaksin awal https : //t.co/i5qke99lbc,assalamualaikum selamat pagi internet sokong genggeng angkat penumbuk jari senyap membisu pasal isu pekerja kasino genting vaksin awal https  ,assalamualaikum selamat pagi internet sokong genggeng angkat penumbuk jari senyap membisu pasal isu pekerja kasino genting vaksin https,assalamualaikum selamat pagi internet sokong genggeng angkat tumbuk jari senyap bisu pasal isu kerja kasino genting vaksin https,7,1,assalamualaikum selamat pagi internet sokong genggeng angkat tumbuk jari senyap bisu pasal isu kerja kasino genting vaksin https
ni advance dr menteri/kaum kerabat/pekerja genting highland . 1st batch vaksin pfizer malaysia 21 feb 2021 . mak ambik vaksin covid19 tu ? https : //t.co/ryjjzpthfj,ni advance dr menterikaum kerabatpekerja genting highland   batch vaksin pfizer malaysia  feb   mak ambik vaksin  tu  https  tcoryjjzpthfj,ni advance dr menterikaum kerabatpekerja genting highland batch vaksin pfizer malaysia feb mak ambik vaksin tu https tcoryjjzpthfj,ni advance dr menterikaum kerabatpekerja genting highland batch vaksin pfizer malaysia feb mak ambik vaksin tu https tcoryjjzpthfj,0,0,ni advance dr menterikaum kerabatpekerja genting highland batch vaksin pfizer malaysia feb mak ambik vaksin tu https tcoryjjzpthfj
"@ isacjohore sen prinsipal 1mdb xdibayar dr ph tun , guan eng khalid samad etc2 , asyik cakep nk kena pinjaman negara 1mdb.. tp smpai harini deh 300-400 billion pinjam , takkan sen principal xdibayar . bajet vaksin da masuk bajet , nk pecah kwan ?", isacjohore sen prinsipal  xdibayar dr ph tun  guan eng khalid samad   asyik cakep nk kena pinjaman negara  tp smpai harini deh  billion pinjam  takkan sen principal xdibayar  bajet vaksin da masuk bajet  nk pecah kwan ,isacjohore sen prinsipal xdibayar dr ph tun guan eng khalid samad asyik cakep nk kena pinjaman negara tp smpai harini deh billion pinjam takkan sen principal xdibayar bajet vaksin da masuk bajet nk pecah kwan,isacjohore sen prinsipal xdibayar dr ph tun guan eng khalid samad asyik cakep nk kena pinjam negara tp smpai harini deh billion pinjam tak sen principal xdibayar bajet vaksin da masuk bajet nk pecah kwan,-1,2,isacjohore sen prinsipal xdibayar dr ph tun guan eng khalid samad asyik cakep nk kena pinjam negara tp smpai harini deh billion pinjam tak sen principal xdibayar bajet vaksin da masuk bajet nk pecah kwan
"@ septyary @ detikcom udh 1 pasca vaksin dosis 2 alhamdulillah sehat . efek vaksin beda2 tergantung kesehatannya . kuncinya 1saat wawancara vaksin , jujur kasih riwayat penyakit kesehatan .", septyary  detikcom udh  pasca vaksin dosis  alhamdulillah sehat  efek vaksin  tergantung kesehatannya  kuncinya  wawancara vaksin  jujur kasih riwayat penyakit kesehatan ,septyary detikcom udh pasca vaksin dosis alhamdulillah sehat efek vaksin tergantung kesehatannya kuncinya wawancara vaksin jujur kasih riwayat penyakit kesehatan,septyary detikcom udh pasca vaksin dosis alhamdulillah sehat efek vaksin gantung sehat kunci wawancara vaksin jujur kasih riwayat sakit sehat,24,1,septyary detikcom udh pasca vaksin dosis alhamdulillah sehat efek vaksin gantung sehat kunci wawancara vaksin jujur kasih riwayat sakit sehat
@ kachonk35_79 pakai dokter usia segini vaksin gak dimandiin.. gak dikeringin hbs mabdi.. pikir biar kering cuaca kan panas 🙄,  pakai dokter usia segini vaksin gak dimandiin gak dikeringin hbs mabdi pikir biar kering cuaca kan panas 🙄,pakai dokter usia segini vaksin gak dimandiin gak dikeringin hbs mabdi pikir biar kering cuaca panas 🙄,pakai dokter usia gin vaksin gak dimandiin gak ringin hbs mabdi pikir biar kering cuaca panas,3,1,pakai dokter usia gin vaksin gak dimandiin gak ringin hbs mabdi pikir biar kering cuaca panas
@ sayaazren antivaksin ? maaf ye family bukan anti vaksin ., sayaazren antivaksin  maaf ye family bukan anti vaksin ,sayaazren antivaksin maaf ye family anti vaksin,sayaazren antivaksin maaf ye family anti vaksin,0,0,sayaazren antivaksin maaf ye family anti vaksin
kewajiban bermasker tidak berubah tidak penerima vaksin kebal . https : //t.co/okcwnt8cs9,kewajiban bermasker tidak berubah tidak penerima vaksin kebal  https  ,kewajiban bermasker berubah penerima vaksin kebal https,wajib masker ubah terima vaksin kebal https,0,0,wajib masker ubah terima vaksin kebal https
"mtr body kiri kanan stiker grab . dihelm amp ; hp dtempel sma ptugas disana . 😂 djalan berenti dsamperin driver dtanyain macem2 . bnyak takut vaksin gara2 berita habis vaksin mati , sakitlah lain-lain . btw , kasih stiker gojek vaksin ga ? https : //t.co/kmchdqyowa",mtr body kiri kanan stiker grab  dihelm amp  hp dtempel sma ptugas disana  😂 djalan berenti dsamperin driver dtanyain   bnyak takut vaksin  berita habis vaksin mati  sakitlah lainlain  btw  kasih stiker gojek vaksin ga  https  tcokmchdqyowa,mtr body kiri kanan stiker grab dihelm amp hp dtempel sma ptugas disana 😂 djalan berenti dsamperin driver dtanyain bnyak takut vaksin berita habis vaksin mati sakitlah lainlain btw kasih stiker gojek vaksin ga https tcokmchdqyowa,mtr body kiri kanan stiker grab helm amp hp dtempel sma ptugas sana djalan renti dsamperin driver dtanyain bnyak takut vaksin berita habis vaksin mati sakit lainlain btw kasih stiker gojek vaksin ga https tcokmchdqyowa,-3,2,mtr body kiri kanan stiker grab helm amp hp dtempel sma ptugas sana djalan renti dsamperin driver dtanyain bnyak takut vaksin berita habis vaksin mati sakit lainlain btw kasih stiker gojek vaksin ga https tcokmchdqyowa
"@ munconvo saranku berangkat , imun adaptasi vaksinnya takutnya paparan pas lemah . mending istirahat , demam wajar habis vaksin memang sbg respon tubuh", munconvo saranku berangkat  imun adaptasi vaksinnya takutnya paparan pas lemah  mending istirahat  demam wajar habis vaksin memang sbg respon tubuh,munconvo saranku berangkat imun adaptasi vaksinnya takutnya paparan pas lemah mending istirahat demam wajar habis vaksin sbg respon tubuh,munconvo saran berangkat imun adaptasi vaksin takut papar pas lemah mending istirahat demam wajar habis vaksin sbg respon tubuh,10,1,munconvo saran berangkat imun adaptasi vaksin takut papar pas lemah mending istirahat demam wajar habis vaksin sbg respon tubuh
"@ detikcom @ msaid_didu klo lumpuh bertanggung jawab , ..jangan paksa vaksin covid 19 orang2 bebal nuruti anjuran pemerintah..blom manjur vaksin itu..", detikcom  msaiddidu klo lumpuh bertanggung jawab  jangan paksa vaksin covid   bebal nuruti anjuran pemerintahblom manjur vaksin itu,detikcom msaiddidu klo lumpuh bertanggung paksa vaksin covid bebal nuruti anjuran pemerintahblom manjur vaksin,detikcom msaiddidu klo lumpuh tanggung paksa vaksin covid bebal nuruti anjur pemerintahblom manjur vaksin,-7,2,detikcom msaiddidu klo lumpuh tanggung paksa vaksin covid bebal nuruti anjur pemerintahblom manjur vaksin
semoga amirah dijauhkan anti vaksin berpurdah munafik . i ’ t stand with their words . sanggup bau longkang busuk mulut diorg 🙂,semoga amirah dijauhkan anti vaksin berpurdah munafik  i  t stand with their words  sanggup bau longkang busuk mulut diorg 🙂,semoga amirah dijauhkan anti vaksin berpurdah munafik i t stand with their words sanggup bau longkang busuk mulut diorg 🙂,moga amirah jauh anti vaksin purdah munafik i t stand with their words sanggup bau longkang busuk mulut diorg,-13,2,moga amirah jauh anti vaksin purdah munafik i t stand with their words sanggup bau longkang busuk mulut diorg
"org mikirnya meninggal covid santunan , vaksin gk persentase meninggal covid dibandingkan vaksin gk beda",org mikirnya meninggal covid santunan  vaksin gk persentase meninggal covid dibandingkan vaksin gk beda,org mikirnya meninggal covid santunan vaksin gk persentase meninggal covid dibandingkan vaksin gk beda,org mikirnya tinggal covid santun vaksin gk persentase tinggal covid banding vaksin gk beda,11,1,org mikirnya tinggal covid santun vaksin gk persentase tinggal covid banding vaksin gk beda
klo jarang langka pemerintah gk kasih jaminan kesehatan santunan keluarga korban vaksin ? https : //t.co/sbrqaqq7d6,klo jarang langka pemerintah gk kasih jaminan kesehatan santunan keluarga korban vaksin  https  ,klo jarang langka pemerintah gk kasih jaminan kesehatan santunan keluarga korban vaksin https,klo jarang langka perintah gk kasih jamin sehat santun keluarga korban vaksin https,-4,2,klo jarang langka perintah gk kasih jamin sehat santun keluarga korban vaksin https
"vaksin az tidak start cucuk kat rakyat ttbe je cakap camtu , lepastu petugas kesihatan bodo type covid kobid ? dah setahun keje tidak reti type elok2 ? https : //t.co/n88tl6rtzo",vaksin az tidak start cucuk kat rakyat ttbe je cakap camtu  lepastu petugas kesihatan bodo type covid kobid  dah setahun keje tidak reti type   https  ,vaksin az start cucuk kat rakyat ttbe je cakap camtu lepastu petugas kesihatan bodo type covid kobid dah setahun keje reti type https,vaksin az start cucuk kat rakyat ttbe je cakap camtu lepastu tugas kesihatan bodo type covid kobid dah tahun keje ret type https,-10,2,vaksin az start cucuk kat rakyat ttbe je cakap camtu lepastu tugas kesihatan bodo type covid kobid dah tahun keje ret type https
ga vaksin trus besoknya demam ? tetep berangkat kantor tidak ? 🐳,ga vaksin trus besoknya demam  tetep berangkat kantor tidak  🐳,ga vaksin trus besoknya demam tetep berangkat kantor 🐳,ga vaksin trus besok demam tetep berangkat kantor,-4,2,ga vaksin trus besok demam tetep berangkat kantor
@ shikamaruking48 @ detikcom vaksin bikin antibody lawan covid19 . kalah mwnang tidak jaminan ... ... teori² sebutkan vaksinasi swtelah badai pandemi melandai . bukan pandemi bwrada si grafik . tidak ideal dlm mengatasi pandemic ...,   detikcom vaksin bikin antibody lawan   kalah mwnang tidak jaminan   teori² sebutkan vaksinasi swtelah badai pandemi melandai  bukan pandemi bwrada si grafik  tidak ideal dlm mengatasi pandemic ,detikcom vaksin bikin antibody lawan kalah mwnang jaminan teori² sebutkan vaksinasi swtelah badai pandemi melandai pandemi bwrada si grafik ideal dlm mengatasi pandemic,detikcom vaksin bikin antibody lawan kalah mwnang jamin teori sebut vaksinasi swtelah badai pandemi landai pandemi bwrada si grafik ideal dlm atas pandemic,-23,2,detikcom vaksin bikin antibody lawan kalah mwnang jamin teori sebut vaksinasi swtelah badai pandemi landai pandemi bwrada si grafik ideal dlm atas pandemic
habis vaksin demam pdhl vaksin b jujur pegel demam ngantuk meriyang,habis vaksin demam pdhl vaksin b jujur pegel demam ngantuk meriyang,habis vaksin demam pdhl vaksin b jujur pegel demam ngantuk meriyang,habis vaksin demam pdhl vaksin b jujur gel demam ngantuk meriyang,5,1,habis vaksin demam pdhl vaksin b jujur gel demam ngantuk meriyang
@ afis_farisxxvii pasni kene cucuk vaksin 😅😅, afisfarisxxvii pasni kene cucuk vaksin 😅😅,afisfarisxxvii pasni kene cucuk vaksin 😅😅,afisfarisxxvii pasni kene cucuk vaksin,-3,2,afisfarisxxvii pasni kene cucuk vaksin
hasil uji klinis vaksin covid-19 bayi biontech keluar september 2021 https : //t.co/9f01khh1qs https : //t.co/1y7ppzmkhp,hasil uji klinis vaksin  bayi biontech keluar september  https   https  ,hasil uji klinis vaksin bayi biontech september https https,hasil uji klinis vaksin bayi biontech september https https,1,1,hasil uji klinis vaksin bayi biontech september https https
sebenernya jadwal interview bentrok sm vaksin aaa sedi🥺🙃,sebenernya jadwal interview bentrok sm vaksin aaa sedi🥺🙃,sebenernya jadwal interview bentrok sm vaksin aaa sedi🥺🙃,sebenernya jadwal interview bentrok sm vaksin aaa sedi,-6,2,sebenernya jadwal interview bentrok sm vaksin aaa sedi
@ mkini_bm deh inject vaksin ... so kena lglah, mkinibm deh inject vaksin  so kena lglah,mkinibm deh inject vaksin so kena lglah,mkinibm deh inject vaksin so kena lglah,-3,2,mkinibm deh inject vaksin so kena lglah
ginjensing tidak vaksin deh manfaatnya tidak ase ... ... resiko efek sampingnya ade ... ... .. 3 m ... ... ... deh ... . jaga stamina kesehatan 👍👍👍👍👍 https : //t.co/7qg1adr9cy,ginjensing tidak vaksin deh manfaatnya tidak ase   resiko efek sampingnya ade     m    deh   jaga stamina kesehatan 👍👍👍👍👍 https  ,ginjensing vaksin deh manfaatnya ase resiko efek sampingnya ade m deh jaga stamina kesehatan 👍👍👍👍👍 https,ginjensing vaksin deh manfaat ase resiko efek samping ade m deh jaga stamina sehat https,13,1,ginjensing vaksin deh manfaat ase resiko efek samping ade m deh jaga stamina sehat https
babinsa kalurahan banguntapan sertu ahmad suroto melaksanakan pendampingan pelaksanaan pemberian vaksin traveloka jec https : //t.co/c0epgx2ndz,babinsa kalurahan banguntapan sertu ahmad suroto melaksanakan pendampingan pelaksanaan pemberian vaksin traveloka jec https  ,babinsa kalurahan banguntapan sertu ahmad suroto melaksanakan pendampingan pelaksanaan pemberian vaksin traveloka jec https,babinsa kalurahan banguntapan sertu ahmad suroto laksana damping laksana beri vaksin traveloka jec https,3,1,babinsa kalurahan banguntapan sertu ahmad suroto laksana damping laksana beri vaksin traveloka jec https
"tangan bekas vaksin agak sakit , sebulan vaksinnya",tangan bekas vaksin agak sakit  sebulan vaksinnya,tangan bekas vaksin sakit sebulan vaksinnya,tangan bekas vaksin sakit bulan vaksin,-8,2,tangan bekas vaksin sakit bulan vaksin
wrk ! ga vaksin trus besoknya demam ? tetep berangkat kantor tidak ?,wrk  ga vaksin trus besoknya demam  tetep berangkat kantor tidak ,wrk ga vaksin trus besoknya demam tetep berangkat kantor,wrk ga vaksin trus besok demam tetep berangkat kantor,-4,2,wrk ga vaksin trus besok demam tetep berangkat kantor
"laptop pakai dok 🙈😐 blom dropping vaksin suka tiba2 , jumpalitan ngubungin sasaran , kaya bikin candi semalam ✌️ https : //t.co/cryo1xxc9d",laptop pakai dok 🙈😐 blom dropping vaksin suka   jumpalitan ngubungin sasaran  kaya bikin candi semalam ✌️ https  ,laptop pakai dok 🙈😐 blom dropping vaksin suka jumpalitan ngubungin sasaran kaya bikin candi semalam ✌️ https,laptop pakai dok blom dropping vaksin suka jumpalit ngubungin sasar kaya bikin candi malam https,8,1,laptop pakai dok blom dropping vaksin suka jumpalit ngubungin sasar kaya bikin candi malam https
@ jwscldh @ blogdokter ahhh males jawabnya saya.. vaksin deh om menjenguk menjenguk prosesnya focus calon penerima vaksin saja.. focus petugas.. . ok, jwscldh  blogdokter ahhh males jawabnya saya vaksin deh om menjenguk menjenguk prosesnya focus calon penerima vaksin saja focus petugas  ok,jwscldh blogdokter ahhh males vaksin deh om menjenguk menjenguk prosesnya focus calon penerima vaksin focus petugas ok,jwscldh blogdokter ahhh males vaksin deh om jenguk jenguk proses focus calon terima vaksin focus tugas ok,-2,2,jwscldh blogdokter ahhh males vaksin deh om jenguk jenguk proses focus calon terima vaksin focus tugas ok
